rms_full,rms_provider,rms_type,display_name,category,track,tf_resource,confidence
ecs.cloudservers,ecs,cloudservers,ECSs,Computing,tracked,huaweicloud_compute_instance,manual
rds.instances,rds,instances,Instances,Database,tracked,huaweicloud_rds_instance,manual
rds.nodes,rds,nodes,Nodes,Database,tracked,huaweicloud_rds_instance,manual
rds.proxies,rds,proxies,Proxies,Database,tracked,huaweicloud_rds_read_replica_instance,manual
rds.proxynodes,rds,proxynodes,Proxy Nodes,Database,tracked,huaweicloud_rds_read_replica_instance,manual
as.scalingGroups,as,scalingGroups,AS Groups,Computing,tracked,huaweicloud_as_group,manual
bms.servers,bms,servers,BMSs,Computing,tracked,huaweicloud_bms_instance,manual
evs.volumes,evs,volumes,Disks,Storage,tracked,huaweicloud_evs_volume,manual
cbr.vault,cbr,vault,Vaults,Storage,tracked,huaweicloud_cbr_vault,manual
cbr.backup,cbr,backup,Backup,Storage,untracked,huaweicloud_cbr_backup,manual
cbr.policy,cbr,policy,Policy,Storage,untracked,huaweicloud_cbr_policy,manual
vpc.vpcs,vpc,vpcs,VPCs,Network,tracked,huaweicloud_vpc,manual
vpc.securityGroups,vpc,securityGroups,Security Groups,Network,tracked,huaweicloud_networking_secgroup,manual
vpc.publicips,vpc,publicips,EIPs,Network,tracked,huaweicloud_vpc_eip,manual
vpc.bandwidths,vpc,bandwidths,Bandwidths,Network,tracked,huaweicloud_vpc_bandwidth,manual
vpc.global-eips,vpc,global-eips,Global EIPs,Network,tracked,huaweicloud_global_eip,manual
vpc.geipSegment,vpc,geipSegment,Global EIP Ranges,Network,tracked,huaweicloud_global_eip_segment,manual
vpc.internet-bandwidths,vpc,internet-bandwidths,Global Internet Bandwidths,Network,tracked,huaweicloud_global_internet_bandwidth,manual
vpc.flowLogs,vpc,flowLogs,Flow Logs,Network,untracked,huaweicloud_vpc_flow_log,manual
vpc.firewallGroups,vpc,firewallGroups,Network ACLs,Network,untracked,huaweicloud_network_acl,manual
vpc.ports,vpc,ports,Ports,Network,untracked,huaweicloud_networking_port,manual
vpc.addressGroups,vpc,addressGroups,Address Groups,Network,untracked,huaweicloud_vpc_address_group,manual
vpc.routeTables,vpc,routeTables,Route Tables,Network,untracked,huaweicloud_vpc_route_table,manual
vpc.peerings,vpc,peerings,Peerings,Network,untracked,huaweicloud_vpc_peering_connection,manual
vpc.networks,vpc,networks,Subnets,Network,untracked,huaweicloud_vpc_subnet,manual
elb.loadbalancers,elb,loadbalancers,Load Balancers,Network,tracked,huaweicloud_elb_loadbalancer,manual
elb.listeners,elb,listeners,Listeners,Network,tracked,huaweicloud_elb_listener,manual
elb.l7policies,elb,l7policies,L7Policies,Network,untracked,huaweicloud_elb_l7policy,manual
elb.pools,elb,pools,Pools,Network,untracked,huaweicloud_elb_pool,manual
elb.masterSlavePools,elb,masterSlavePools,Master-Slave Pools,Network,untracked,huaweicloud_elb_master_slave_pool,manual
elb.members,elb,members,Members,Network,untracked,huaweicloud_elb_member,manual
elb.ipgroups,elb,ipgroups,IpGroups,Network,untracked,huaweicloud_elb_ipgroup,manual
dns.publiczones,dns,publiczones,Public Zones,Network,tracked,huaweicloud_dns_zone,manual
dns.privatezones,dns,privatezones,Private Zones,Network,tracked,huaweicloud_dns_zone,manual
ims.images,ims,images,Images,Computing,tracked,huaweicloud_images_image,manual
